category,precision,recall,f1-score,support,accuracy
alligator apple,0.8971428571428571,0.8971428571428571,0.8971428571428571,175.0,0.8971428571428571
apple,0.9574468085106383,0.9375,0.9473684210526315,240.0,0.9375
avocado,0.9612068965517241,0.9570815450643777,0.9591397849462365,233.0,0.9570815450643777
banana,0.9827586206896551,0.9827586206896551,0.9827586206896551,232.0,0.9827586206896551
barberry,0.9665071770334929,0.9758454106280193,0.9711538461538461,207.0,0.9758454106280193
bayberry,0.9795918367346939,0.964824120603015,0.9721518987341772,199.0,0.964824120603015
bell pepper,0.9547738693467337,0.95,0.9523809523809523,200.0,0.95
black berry,0.9695652173913043,0.9911111111111112,0.9802197802197803,225.0,0.9911111111111112
black cherry,0.9075144508670521,0.8486486486486486,0.8770949720670391,185.0,0.8486486486486486
blueberry,0.9514563106796117,0.98,0.9655172413793104,200.0,0.98
bottle gourd,0.9633507853403142,0.9246231155778895,0.9435897435897436,199.0,0.9246231155778895
cantaloupe,0.9565217391304348,0.9850746268656716,0.9705882352941176,201.0,0.9850746268656716
carambola,0.9801980198019802,0.9850746268656716,0.9826302729528535,201.0,0.9850746268656716
cherry,0.8910891089108911,0.9,0.8955223880597015,200.0,0.9
coconut,0.9850746268656716,0.9705882352941176,0.9777777777777777,204.0,0.9705882352941176
corn kernel,0.99,0.9753694581280788,0.9826302729528535,203.0,0.9753694581280788
custard apple,0.9521531100478469,0.9299065420560748,0.9408983451536642,214.0,0.9299065420560748
dragonfruit,0.9903381642512077,0.9903381642512077,0.9903381642512077,207.0,0.9903381642512077
durian,1.0,1.0,1.0,205.0,1.0
eggplant,0.9802955665024631,0.9851485148514851,0.9827160493827161,202.0,0.9851485148514851
fig,0.9754901960784313,0.9851485148514851,0.9802955665024631,202.0,0.9851485148514851
grape,0.9849246231155779,0.9514563106796117,0.9679012345679012,206.0,0.9514563106796117
jackfruit,0.9705882352941176,0.9611650485436893,0.9658536585365853,206.0,0.9611650485436893
jalapeno,0.9368932038834952,0.9554455445544554,0.946078431372549,202.0,0.9554455445544554
kiwi,0.97,0.9603960396039604,0.9651741293532338,202.0,0.9603960396039604
lemon,0.8967136150234741,0.9455445544554455,0.9204819277108435,202.0,0.9455445544554455
lime,0.9045226130653267,0.8910891089108911,0.8977556109725686,202.0,0.8910891089108911
longan,0.9707317073170731,0.9802955665024631,0.9754901960784313,203.0,0.9802955665024631
macadamia,0.916256157635468,0.93,0.923076923076923,200.0,0.93
mango,0.94,0.9170731707317074,0.9283950617283951,205.0,0.9170731707317074
orange,0.9580838323353293,0.975609756097561,0.9667673716012085,164.0,0.975609756097561
papaya,0.9609756097560975,0.9609756097560975,0.9609756097560975,205.0,0.9609756097560975
pea,0.9894366197183099,1.0,0.9946902654867256,281.0,1.0
peanut,0.9826589595375722,0.9883720930232558,0.9855072463768114,172.0,0.9883720930232558
pear,0.94,0.9353233830845771,0.9376558603491272,201.0,0.9353233830845771
persimmon,0.9836956521739131,0.9783783783783784,0.981029810298103,185.0,0.9783783783783784
pineapple,0.9855769230769231,0.9903381642512077,0.9879518072289156,207.0,0.9903381642512077
pomegranate,0.9611650485436893,0.9801980198019802,0.9705882352941178,202.0,0.9801980198019802
pumpkin,0.968421052631579,0.968421052631579,0.968421052631579,95.0,0.968421052631579
saguaro,0.9565217391304348,0.9777777777777777,0.967032967032967,90.0,0.9777777777777777
strawberry,0.975,0.975,0.975,200.0,0.975
tomato,0.9646464646464646,0.955,0.9597989949748743,200.0,0.955
watermelon,0.9900497512437811,1.0,0.995,199.0,1.0
zucchini,0.9607843137254902,0.9751243781094527,0.9679012345679012,201.0,0.9751243781094527
macro avg,0.9604573064484345,0.9606629106709877,0.9604646095381693,8764.0,0.9606629106709877
weighted avg,0.9610123454970682,0.9609767229575537,0.9609003012168967,8764.0,0.9609767229575538
