epoch,batch,train_loss,train_accuracy,train_precision,train_recall,train_f1-score
0,0,7.992647,0.0,0.0,0.0,0.0
1,1,6.395796,0.03125,0.01,0.02,0.013333333333333332
1,2,10.395729,0.09375,0.044705294705294704,0.07692307692307693,0.036686390532544376
1,3,4.596761,0.09375,0.05357142857142857,0.08928571428571429,0.0625
1,4,4.5100965,0.1875,0.09203296703296703,0.16666666666666666,0.10629251700680273
1,5,4.567093,0.15625,0.12130177514792899,0.09615384615384616,0.08717948717948718
1,6,3.6177423,0.28125,0.16428571428571428,0.20833333333333331,0.15731292517006804
1,7,3.3795738,0.28125,0.17901234567901234,0.2222222222222222,0.19382716049382712
1,8,3.644362,0.15625,0.06944444444444445,0.09444444444444443,0.06666666666666667
1,9,3.6124005,0.09375,0.0773809523809524,0.08928571428571429,0.08035714285714286
1,10,3.6733673,0.09375,0.08064516129032258,0.06451612903225806,0.06989247311827956
1,11,3.937087,0.125,0.08333333333333333,0.11290322580645161,0.09032258064516129
1,12,3.2913308,0.15625,0.10344827586206896,0.1264367816091954,0.10804597701149425
1,13,3.0881624,0.375,0.27976190476190477,0.24404761904761907,0.25476190476190474
1,14,2.8944178,0.34375,0.26785714285714285,0.28869047619047616,0.24642857142857144
1,15,3.2539737,0.15625,0.11607142857142858,0.13095238095238093,0.10595238095238094
1,16,2.8732612,0.28125,0.2619047619047619,0.25,0.24642857142857144
1,17,2.7597651,0.375,0.3154761904761905,0.29166666666666663,0.2928571428571428
1,18,2.9022286,0.34375,0.25,0.20588235294117646,0.2196078431372549
1,19,2.9739501,0.28125,0.19907407407407407,0.20833333333333334,0.19814814814814813
1,20,2.511975,0.4375,0.3383333333333333,0.4,0.3434920634920635
1,21,2.1953483,0.5625,0.516025641025641,0.5,0.48717948717948717
1,22,1.7663388,0.59375,0.5059523809523809,0.44642857142857134,0.4595238095238095
1,23,2.8046348,0.3125,0.2,0.2,0.19444444444444445
1,24,1.8739113,0.53125,0.4051724137931034,0.3706896551724138,0.37068965517241376
1,25,2.5704842,0.3125,0.3269230769230769,0.2564102564102564,0.2653846153846154
1,26,2.927228,0.28125,0.27419354838709675,0.1881720430107527,0.21505376344086022
1,27,1.7187369,0.53125,0.41397849462365593,0.41397849462365593,0.3924731182795699
1,28,1.871944,0.59375,0.47333333333333333,0.45,0.4444444444444444
1,29,1.9809728,0.46875,0.30459770114942525,0.35344827586206895,0.3068965517241379
1,30,1.7486598,0.46875,0.3671875,0.38541666666666663,0.35104166666666664
1,31,2.719328,0.375,0.30107526881720426,0.27956989247311825,0.26021505376344084
1,32,2.0667064,0.5,0.3225806451612903,0.3279569892473118,0.31612903225806455
