X,Y,category_name,predcategory,image_path
8.513105,5.0602894,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/0.jpg
8.653939,4.107865,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/1.jpg
8.611531,6.0189676,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/104.jpg
8.175819,3.664591,alligator apple,papaya,Fruit-Project_split/val/alligator apple/11.jpg
8.336414,3.8524837,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/126.jpg
8.629422,6.144897,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/129.jpg
8.698851,3.835145,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/13.jpg
8.703593,5.906811,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/146.jpg
8.703146,5.5189323,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/147.jpg
8.687964,5.8383145,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/151.jpg
8.604096,4.216731,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/152.jpg
8.600128,3.9870594,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/153.jpg
8.368081,5.57081,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/159.jpg
8.618334,6.0463004,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/162.jpg
8.543346,3.9327846,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/172.jpg
8.447827,5.86423,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/174.jpg
8.436382,6.0320234,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/176.jpg
10.172366,3.8846698,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/180.jpg
8.75875,5.849174,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/181.jpg
8.649277,6.0292516,alligator apple,custard apple,Fruit-Project_split/val/alligator apple/187.jpg
8.484159,5.017336,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/192.jpg
8.74756,4.2979245,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/195.jpg
8.610145,6.035377,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/2.jpg
8.559408,6.0201445,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/200.jpg
8.580621,5.869496,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/209.jpg
8.50204,6.0164876,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/216.jpg
8.658958,6.1335263,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/219.jpg
8.947965,5.7187924,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/225.jpg
8.872202,4.0704193,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/229.jpg
8.884137,6.1296387,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/238.jpg
8.647611,4.179647,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/239.jpg
8.431332,5.616833,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/243.jpg
8.560949,5.78265,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/244.jpg
10.611217,9.392045,alligator apple,jackfruit,Fruit-Project_split/val/alligator apple/25.jpg
8.416585,5.3912163,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/251.jpg
8.603689,5.7953486,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/253.jpg
8.595939,5.5838075,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/264.jpg
8.841482,4.968216,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/265.jpg
8.656076,6.042377,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/268.jpg
8.615825,5.7053123,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/270.jpg
8.539239,5.015313,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/271.jpg
8.641917,4.0336485,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/274.jpg
8.456986,3.8760917,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/275.jpg
8.509339,5.0683527,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/28.jpg
8.700007,4.889762,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/281.jpg
8.642705,5.967756,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/290.jpg
8.439248,5.9950275,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/291.jpg
8.933477,5.593306,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/295.jpg
8.211272,5.4458327,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/305.jpg
8.554004,5.0149155,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/31.jpg
8.730378,5.72896,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/315.jpg
8.160384,5.561962,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/316.jpg
6.32735,5.3879414,alligator apple,custard apple,Fruit-Project_split/val/alligator apple/317.jpg
8.681568,5.7572527,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/320.jpg
8.42312,5.733,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/323.jpg
7.8022594,3.4944584,alligator apple,barberry,Fruit-Project_split/val/alligator apple/33.jpg
8.739316,5.9167194,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/330.jpg
8.731258,5.829567,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/331.jpg
8.633476,4.2376914,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/336.jpg
8.44099,6.058253,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/344.jpg
8.981904,5.534244,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/355.jpg
8.573164,5.831671,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/375.jpg
9.168947,4.8499775,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/383.jpg
8.370144,5.835413,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/384.jpg
6.8238473,5.307669,alligator apple,macadamia,Fruit-Project_split/val/alligator apple/386.jpg
5.624654,5.56141,alligator apple,custard apple,Fruit-Project_split/val/alligator apple/387.jpg
8.848088,6.1255517,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/396.jpg
8.633793,6.072974,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/398.jpg
13.06092,4.0657754,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/402.jpg
8.421223,6.099159,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/404.jpg
8.460065,3.9048667,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/410.jpg
8.523788,5.9706597,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/422.jpg
8.544096,5.975216,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/428.jpg
9.147464,5.0433917,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/43.jpg
8.627849,6.0537205,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/433.jpg
8.586112,5.649412,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/440.jpg
8.674295,5.5778546,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/441.jpg
8.682705,5.497661,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/445.jpg
8.646921,6.099381,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/447.jpg
8.162608,5.430069,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/448.jpg
8.633968,5.9193535,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/464.jpg
8.675084,5.8828444,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/468.jpg
8.713415,4.161047,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/479.jpg
8.543654,5.045083,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/482.jpg
8.411566,5.2748027,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/489.jpg
8.868897,5.8717504,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/490.jpg
8.509053,5.0700083,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/502.jpg
8.627329,6.0625877,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/503.jpg
8.570124,4.9810266,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/510.jpg
8.700745,5.9260674,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/518.jpg
10.100876,7.5655575,alligator apple,cantaloupe,Fruit-Project_split/val/alligator apple/53.jpg
8.62871,6.0453715,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/536.jpg
9.119489,4.919748,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/537.jpg
8.224226,5.5177765,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/551.jpg
8.599018,6.0481963,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/558.jpg
8.611151,3.9905033,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/577.jpg
8.432157,6.080512,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/578.jpg
9.736039,3.8499062,alligator apple,lemon,Fruit-Project_split/val/alligator apple/58.jpg
8.5002575,3.8798833,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/580.jpg
11.247027,5.3815475,alligator apple,lime,Fruit-Project_split/val/alligator apple/582.jpg
8.543109,5.5798335,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/585.jpg
8.696275,5.976555,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/587.jpg
8.624004,6.0845165,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/595.jpg
8.55646,6.0321913,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/599.jpg
9.578151,4.2728696,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/613.jpg
8.5531645,5.6696606,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/614.jpg
8.6371765,5.437215,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/615.jpg
8.585702,5.8238153,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/617.jpg
8.593633,4.008102,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/619.jpg
8.385193,5.934065,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/620.jpg
8.586831,5.6502256,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/621.jpg
