X,Y,Z,category_name,predcategory,image_path
10.243287,4.130756,2.4717038,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/0.jpg
10.301745,3.6609771,3.4455132,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/1.jpg
10.2128935,5.231889,2.9479172,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/104.jpg
10.605932,3.457188,3.9730313,alligator apple,papaya,Fruit-Project_split/val/alligator apple/11.jpg
10.557795,3.4591534,3.7322276,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/126.jpg
10.136353,5.3326635,3.0800767,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/129.jpg
10.176111,3.6114888,3.4856994,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/13.jpg
10.209495,5.1781917,3.1057951,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/146.jpg
10.2663,4.7181454,2.7822826,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/147.jpg
10.229175,5.111678,3.064603,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/151.jpg
10.442166,3.6832545,3.3109,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/152.jpg
10.273794,3.6604245,3.522873,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/153.jpg
10.122533,4.783921,3.1927388,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/159.jpg
10.162257,5.2813377,3.0664432,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/162.jpg
10.276545,3.6026292,3.5741978,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/172.jpg
10.044543,4.970811,3.0591776,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/174.jpg
10.044136,5.1382666,2.7067964,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/176.jpg
9.956682,3.8801932,1.2931683,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/180.jpg
10.253136,5.1616497,3.1065812,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/181.jpg
10.137233,5.2674828,3.0673053,alligator apple,custard apple,Fruit-Project_split/val/alligator apple/187.jpg
10.294874,4.645241,3.535268,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/192.jpg
10.523508,3.744526,3.177557,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/195.jpg
10.158511,5.291551,3.1090071,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/2.jpg
10.182888,5.2207723,2.767717,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/200.jpg
10.176048,5.0991077,2.8088753,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/209.jpg
10.234065,5.1645455,2.6758773,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/216.jpg
10.137101,5.341252,3.0490568,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/219.jpg
10.404984,5.004468,3.0269074,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/225.jpg
10.170055,3.7144938,3.2600956,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/229.jpg
10.504697,5.215237,2.6385424,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/238.jpg
10.417589,3.6811159,3.3684266,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/239.jpg
10.032614,4.8463545,2.7134051,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/243.jpg
10.133895,5.0337286,2.7849545,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/244.jpg
8.596568,5.968281,5.107847,alligator apple,jackfruit,Fruit-Project_split/val/alligator apple/25.jpg
10.207185,4.6514726,2.6521697,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/251.jpg
10.163424,5.051943,2.850457,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/253.jpg
9.997342,4.764124,2.9832456,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/264.jpg
10.30942,4.3650866,3.296337,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/265.jpg
10.186858,5.251406,3.0357115,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/268.jpg
10.128424,4.984222,2.9398754,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/270.jpg
10.292031,4.110011,2.5777307,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/271.jpg
10.270006,3.6490314,3.5081542,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/274.jpg
10.391469,3.5944533,3.7404292,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/275.jpg
10.407511,4.4572506,3.3762283,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/28.jpg
10.324861,4.0088687,2.7622032,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/281.jpg
10.217063,5.1850777,2.802547,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/290.jpg
9.992517,5.115072,2.6606646,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/291.jpg
10.512861,4.838268,2.899916,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/295.jpg
10.123146,4.716083,2.468101,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/305.jpg
10.266519,4.1424227,2.5380132,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/31.jpg
10.200766,4.9816036,3.0216124,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/315.jpg
10.165721,4.9277005,2.4879682,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/316.jpg
10.14174,6.641585,2.2193737,alligator apple,custard apple,Fruit-Project_split/val/alligator apple/317.jpg
10.200049,4.9915805,2.945443,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/320.jpg
