X,Y,category_name,predcategory,image_path
-4.2847905,49.852974,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/0.jpg
3.5315394,33.62445,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/1.jpg
-19.837706,54.42976,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/104.jpg
13.35008,32.835495,alligator apple,carambola,Fruit-Project_split/val/alligator apple/11.jpg
15.851458,32.52898,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/126.jpg
-21.509193,57.1666,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/129.jpg
7.0112886,29.843296,alligator apple,pear,Fruit-Project_split/val/alligator apple/13.jpg
-18.134335,53.05943,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/146.jpg
-12.176583,53.09194,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/147.jpg
-17.5577,51.842552,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/151.jpg
2.6147535,39.050034,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/152.jpg
4.631539,30.387144,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/153.jpg
-13.162593,49.302776,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/159.jpg
-21.249502,54.67173,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/162.jpg
5.7537746,30.3928,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/172.jpg
-13.791538,50.344193,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/174.jpg
-13.051346,60.74051,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/176.jpg
-45.937145,-24.856817,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/180.jpg
-19.271082,51.95255,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/181.jpg
-15.76367,52.07728,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/187.jpg
-3.9816248,61.276035,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/192.jpg
2.7599652,36.71081,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/195.jpg
-21.092384,54.65264,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/2.jpg
-16.5307,59.002254,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/200.jpg
-15.247598,55.75683,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/209.jpg
-16.782637,60.689342,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/216.jpg
-21.492878,57.16717,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/219.jpg
-22.662104,47.85772,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/225.jpg
0.9433383,33.735443,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/229.jpg
-20.37858,60.99599,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/238.jpg
3.1323318,36.727516,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/239.jpg
-10.049347,50.416927,alligator apple,custard apple,Fruit-Project_split/val/alligator apple/243.jpg
-13.3082,57.452644,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/244.jpg
8.159693,138.49008,alligator apple,jackfruit,Fruit-Project_split/val/alligator apple/25.jpg
-7.767753,53.46634,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/251.jpg
-14.957964,54.93021,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/253.jpg
-10.825663,48.49578,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/264.jpg
-0.43967676,26.998037,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/265.jpg
-18.399502,54.930668,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/268.jpg
-15.161536,53.94844,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/270.jpg
-3.771539,48.08706,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/271.jpg
3.8086421,32.870674,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/274.jpg
10.87966,35.27945,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/275.jpg
9.015415,48.75057,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/28.jpg
-5.62436,45.446903,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/281.jpg
-15.916872,58.21684,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/290.jpg
-11.364526,62.01815,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/291.jpg
-17.769243,45.94442,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/295.jpg
-4.8887243,54.79728,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/305.jpg
-4.4525886,49.632698,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/31.jpg
-17.137197,50.680653,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/315.jpg
-6.900153,57.124397,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/316.jpg
12.460748,89.20297,alligator apple,custard apple,Fruit-Project_split/val/alligator apple/317.jpg
-11.675482,56.74908,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/320.jpg
-13.524138,49.802814,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/323.jpg
34.10981,35.779984,alligator apple,kiwi,Fruit-Project_split/val/alligator apple/33.jpg
-20.909979,52.540436,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/330.jpg
-17.580256,51.8048,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/331.jpg
2.6036448,37.542046,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/336.jpg
-13.318333,61.72746,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/344.jpg
-22.408195,46.9527,alligator apple,lime,Fruit-Project_split/val/alligator apple/355.jpg
-14.318012,56.450634,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/375.jpg
-12.979408,38.060425,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/383.jpg
-15.673408,63.577606,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/384.jpg
12.731907,79.99792,alligator apple,macadamia,Fruit-Project_split/val/alligator apple/386.jpg
18.506468,96.5604,alligator apple,custard apple,Fruit-Project_split/val/alligator apple/387.jpg
-20.257065,61.009533,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/396.jpg
-17.218452,57.293797,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/398.jpg
-70.52876,0.21239644,alligator apple,bottle gourd,Fruit-Project_split/val/alligator apple/402.jpg
-12.9091835,62.42722,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/404.jpg
9.696527,36.184097,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/410.jpg
-17.670755,62.715466,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/422.jpg
-17.888544,60.536613,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/428.jpg
-14.607777,40.692657,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/43.jpg
-18.356117,55.068233,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/433.jpg
-12.821492,54.811943,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/440.jpg
-11.532269,56.844048,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/441.jpg
-11.628245,52.955288,alligator apple,alligator apple,Fruit-Project_split/val/alligator apple/445.jpg
