X,Y,Z,category_name,image_path
-2.5987618,0.49306405,1.3484325,alligator apple,Fruit-Project_split/val/alligator apple/0.jpg
6.696814,6.7998734,3.9235528,alligator apple,Fruit-Project_split/val/alligator apple/1.jpg
4.795967,17.999397,2.9117389,alligator apple,Fruit-Project_split/val/alligator apple/104.jpg
4.5937796,7.693032,10.456852,carambola,Fruit-Project_split/val/alligator apple/11.jpg
5.186177,6.148426,10.058694,alligator apple,Fruit-Project_split/val/alligator apple/126.jpg
6.6512413,19.820026,3.1166914,alligator apple,Fruit-Project_split/val/alligator apple/129.jpg
8.429076,8.895821,5.739157,pear,Fruit-Project_split/val/alligator apple/13.jpg
6.868697,17.1684,1.206829,alligator apple,Fruit-Project_split/val/alligator apple/146.jpg
2.1281555,16.604177,1.7016232,alligator apple,Fruit-Project_split/val/alligator apple/147.jpg
6.0406475,16.397501,1.64004,alligator apple,Fruit-Project_split/val/alligator apple/151.jpg
3.8577104,8.218494,3.6703768,alligator apple,Fruit-Project_split/val/alligator apple/152.jpg
8.848208,7.718093,4.3060164,alligator apple,Fruit-Project_split/val/alligator apple/153.jpg
7.436581,15.169068,4.2504396,alligator apple,Fruit-Project_split/val/alligator apple/159.jpg
5.474604,18.107239,3.634967,alligator apple,Fruit-Project_split/val/alligator apple/162.jpg
9.208277,7.7357383,5.017853,alligator apple,Fruit-Project_split/val/alligator apple/172.jpg
7.454237,15.882019,3.9525201,alligator apple,Fruit-Project_split/val/alligator apple/174.jpg
3.697471,21.657017,2.2983768,alligator apple,Fruit-Project_split/val/alligator apple/176.jpg
-8.836924,-3.6165411,-6.248842,alligator apple,Fruit-Project_split/val/alligator apple/180.jpg
6.689562,16.601938,0.12064682,alligator apple,Fruit-Project_split/val/alligator apple/181.jpg
7.154224,17.25799,2.735648,alligator apple,Fruit-Project_split/val/alligator apple/187.jpg
9.023967,16.172483,-5.6454544,alligator apple,Fruit-Project_split/val/alligator apple/192.jpg
3.6219568,6.1655555,3.344743,alligator apple,Fruit-Project_split/val/alligator apple/195.jpg
5.419948,18.104477,3.6017714,alligator apple,Fruit-Project_split/val/alligator apple/2.jpg
3.6281629,19.946867,0.77543145,alligator apple,Fruit-Project_split/val/alligator apple/200.jpg
3.241607,18.277838,0.916359,alligator apple,Fruit-Project_split/val/alligator apple/209.jpg
2.6511116,20.612635,0.47819427,alligator apple,Fruit-Project_split/val/alligator apple/216.jpg
6.644745,19.81927,3.1111999,alligator apple,Fruit-Project_split/val/alligator apple/219.jpg
4.374411,15.155652,-0.8959122,alligator apple,Fruit-Project_split/val/alligator apple/225.jpg
6.0255876,7.527141,2.2199054,alligator apple,Fruit-Project_split/val/alligator apple/229.jpg
3.2625082,20.266293,-2.0807457,alligator apple,Fruit-Project_split/val/alligator apple/238.jpg
4.0248613,6.5206842,3.7452772,alligator apple,Fruit-Project_split/val/alligator apple/239.jpg
9.470592,14.250471,2.551401,custard apple,Fruit-Project_split/val/alligator apple/243.jpg
2.5383086,19.480814,2.689163,alligator apple,Fruit-Project_split/val/alligator apple/244.jpg
15.782119,23.460964,-7.772639,jackfruit,Fruit-Project_split/val/alligator apple/25.jpg
0.13265523,16.479544,2.619316,alligator apple,Fruit-Project_split/val/alligator apple/251.jpg
3.3826942,17.690601,1.3187582,alligator apple,Fruit-Project_split/val/alligator apple/253.jpg
8.065972,13.671701,2.9127123,alligator apple,Fruit-Project_split/val/alligator apple/264.jpg
7.0157514,11.570863,-1.7012713,alligator apple,Fruit-Project_split/val/alligator apple/265.jpg
5.9807944,18.28371,1.8798101,alligator apple,Fruit-Project_split/val/alligator apple/268.jpg
3.7725863,17.179543,1.763099,alligator apple,Fruit-Project_split/val/alligator apple/270.jpg
-2.3728013,1.8918008,1.0260718,alligator apple,Fruit-Project_split/val/alligator apple/271.jpg
7.2798343,6.899749,3.9459505,alligator apple,Fruit-Project_split/val/alligator apple/274.jpg
5.591524,8.449722,7.6863966,alligator apple,Fruit-Project_split/val/alligator apple/275.jpg
7.3376584,11.683306,0.21648496,alligator apple,Fruit-Project_split/val/alligator apple/28.jpg
-0.06250707,2.0140831,2.6839414,alligator apple,Fruit-Project_split/val/alligator apple/281.jpg
3.483894,19.274435,0.10934618,alligator apple,Fruit-Project_split/val/alligator apple/290.jpg
3.2620263,23.206074,1.9394454,alligator apple,Fruit-Project_split/val/alligator apple/291.jpg
5.3407297,15.996584,-3.785462,alligator apple,Fruit-Project_split/val/alligator apple/295.jpg
-0.47006193,17.836397,4.214713,alligator apple,Fruit-Project_split/val/alligator apple/305.jpg
-2.5768585,0.5725214,1.3545666,alligator apple,Fruit-Project_split/val/alligator apple/31.jpg
6.31458,15.511229,1.5398844,alligator apple,Fruit-Project_split/val/alligator apple/315.jpg
-1.348676,18.574455,2.30409,alligator apple,Fruit-Project_split/val/alligator apple/316.jpg
-10.58463,24.83587,4.5270386,custard apple,Fruit-Project_split/val/alligator apple/317.jpg
2.4828708,17.657818,-0.38633445,alligator apple,Fruit-Project_split/val/alligator apple/320.jpg
7.513045,15.545721,3.9768424,alligator apple,Fruit-Project_split/val/alligator apple/323.jpg
4.240058,8.025971,11.347448,kiwi,Fruit-Project_split/val/alligator apple/33.jpg
5.071885,15.992665,3.1241732,alligator apple,Fruit-Project_split/val/alligator apple/330.jpg
6.057403,16.385788,1.5818508,alligator apple,Fruit-Project_split/val/alligator apple/331.jpg
3.879903,7.039829,3.6137595,alligator apple,Fruit-Project_split/val/alligator apple/336.jpg
3.1743581,21.867636,2.4042418,alligator apple,Fruit-Project_split/val/alligator apple/344.jpg
4.7318687,14.384781,-1.0319695,lime,Fruit-Project_split/val/alligator apple/355.jpg
3.4097767,18.771978,2.0558453,alligator apple,Fruit-Project_split/val/alligator apple/375.jpg
2.555172,9.126351,-2.2252588,alligator apple,Fruit-Project_split/val/alligator apple/383.jpg
0.9408102,21.246807,1.1497334,alligator apple,Fruit-Project_split/val/alligator apple/384.jpg
-6.004319,23.924414,1.6350336,macadamia,Fruit-Project_split/val/alligator apple/386.jpg
-8.928793,30.67539,3.0615585,custard apple,Fruit-Project_split/val/alligator apple/387.jpg
3.2397568,20.284256,-1.999417,alligator apple,Fruit-Project_split/val/alligator apple/396.jpg
5.32113,19.57746,0.4316027,alligator apple,Fruit-Project_split/val/alligator apple/398.jpg
-15.383638,0.4275462,0.29524094,bottle gourd,Fruit-Project_split/val/alligator apple/402.jpg
2.8465538,22.375813,2.5232801,alligator apple,Fruit-Project_split/val/alligator apple/404.jpg
5.2796006,8.233972,6.8315606,alligator apple,Fruit-Project_split/val/alligator apple/410.jpg
0.99248385,19.947401,-0.040938806,alligator apple,Fruit-Project_split/val/alligator apple/422.jpg
2.7477822,20.828806,-0.20106182,alligator apple,Fruit-Project_split/val/alligator apple/428.jpg
3.171321,10.959842,-0.99673605,alligator apple,Fruit-Project_split/val/alligator apple/43.jpg
5.94844,18.364172,1.8856455,alligator apple,Fruit-Project_split/val/alligator apple/433.jpg
2.2328758,17.92996,2.7069912,alligator apple,Fruit-Project_split/val/alligator apple/440.jpg
2.4473846,17.65584,-0.42695853,alligator apple,Fruit-Project_split/val/alligator apple/441.jpg
1.8696066,16.482615,1.6712567,alligator apple,Fruit-Project_split/val/alligator apple/445.jpg
5.526146,19.152164,0.64334214,alligator apple,Fruit-Project_split/val/alligator apple/447.jpg
-0.4775011,17.872599,4.2390995,alligator apple,Fruit-Project_split/val/alligator apple/448.jpg
3.6237319,18.424604,0.95170903,alligator apple,Fruit-Project_split/val/alligator apple/464.jpg
6.037004,16.612503,1.723097,alligator apple,Fruit-Project_split/val/alligator apple/468.jpg
5.4854836,6.5454,3.891227,alligator apple,Fruit-Project_split/val/alligator apple/479.jpg
-1.6659527,1.5227928,2.0694447,alligator apple,Fruit-Project_split/val/alligator apple/482.jpg
0.007449024,16.44723,3.0799901,alligator apple,Fruit-Project_split/val/alligator apple/489.jpg
4.473304,16.99665,-0.5790987,alligator apple,Fruit-Project_split/val/alligator apple/490.jpg
-2.6077054,0.48220685,1.341496,alligator apple,Fruit-Project_split/val/alligator apple/502.jpg
5.5267315,19.167618,0.63646936,alligator apple,Fruit-Project_split/val/alligator apple/503.jpg
-0.6668959,1.8449702,2.4983468,alligator apple,Fruit-Project_split/val/alligator apple/510.jpg
5.9686875,16.673498,1.7150791,alligator apple,Fruit-Project_split/val/alligator apple/518.jpg
-8.45155,20.377024,-10.874013,alligator apple,Fruit-Project_split/val/alligator apple/53.jpg
2.850785,20.918413,-0.36039066,alligator apple,Fruit-Project_split/val/alligator apple/536.jpg
2.6751416,8.97044,-2.2378118,alligator apple,Fruit-Project_split/val/alligator apple/537.jpg
